,1,2,4,8,16,30,50,100,200,400,
1,1.66667,5.00001,10,13.0612,14.2222,13.3531,12.8074,12.87,13.6935,13.7048,
2,0.909092,3.63636,9.41176,20.6452,26.1224,24.9307,25.8264,26.7666,26.8097,26.7697,
4,0.769231,3.63636,9.41176,32,43.3898,47.1204,47.4383,48.8043,47.2422,46.196,
8,0.666666,2.5,10.6667,30.4762,60.9524,83.3333,80.1282,77.7001,78.2014,78.3009,
,1,2,4,8,16,30,50,100,200,400,
1,1.66666,5,9.41176,12.8,13.8378,13.373,12.7356,12.809,12.773,13.3198,
2,1,3.33333,10.6667,19.3939,25.8586,27.8638,25,25.6871,27.3898,27.3387,
4,0.769231,3.63637,11.4286,29.0909,43.3898,41.8605,49.4071,45.9348,46.2802,46.1814,
8,0.76923,2.66667,9.41176,30.4762,64,82.5688,78.8644,78.3085,78.8022,83.9014,
,1,2,4,8,16,30,50,100,200,400,
1,1.66666,5.00001,10,13.3333,14.2222,13.373,12.8205,12.7796,13.395,13.8172,
2,0.909092,3.63637,10,20,25.6,24.8619,25.025,26.1438,26.1832,26.7814,
4,0.769231,3.63636,11.4286,30.4762,43.3898,40.9091,46.8165,46.8165,46.307,46.4185,
8,0.666667,2.5,9.41177,33.6842,65.641,75.6303,78.8644,79.1766,86.4678,77.3694,
,1,2,4,8,16,30,50,100,200,400,
1,1.66667,5.00001,9.99999,13.3333,13.913,13.3333,12.7877,12.8287,13.4044,13.6735,
2,0.909092,3.63637,10,20,25.8586,25,22.3814,26.7881,27.3804,26.7594,
4,0.833333,3.63637,11.4286,30.4762,44.9123,48.913,47.8011,46.1255,46.2695,48.6396,
8,0.714286,2.66667,11.4286,30.4762,60.9524,73.7705,79.3651,77.821,86.3558,78.9071,
,1,2,4,8,16,30,50,100,200,400,1000,5000,
1,5.00005,13.3334,13.3334,14.5455,14.382,14.3312,14.3266,14.2694,14.0746,14.813,14.7551,14.4156,
2,2.5,8,16.0001,23.7037,27.5269,24.4565,28.4414,28.5063,28.3829,28.698,28.9908,26.87,
4,1.66667,5.71427,17.7778,35.5556,46.5455,49.4505,50.813,51.3084,51.6062,48.5098,50.8114,45.8477,
8,1.11111,4.00001,14.5454,40.0001,58.1819,84.1122,79.6178,82.1693,87.3553,75.4183,80.4465,82.6408,
,1,2,4,8,16,30,50,100,200,400,1000,5000,
1,9.99992,13.3334,11.4286,14.2222,14.382,13.9752,13.9665,12.6135,14.2313,14.5329,14.8091,14.6368,
2,2,8,17.7778,24.6154,23.2727,26.8657,28.4738,28.6123,28.5164,26.9801,28.0177,27.2591,
4,1.66666,6.66666,17.7778,35.5556,38.7879,49.1803,49.9002,50.6073,42.6303,49.2171,47.4163,45.9786,
8,1.11111,4.44445,12.3077,42.6667,62.439,62.9371,79.1139,70.1262,79.5387,90.4006,80.9317,83.0641,
,1,2,4,8,16,30,50,100,200,400,1000,5000,
1,5.00005,13.3334,13.3334,14.5455,14.382,14.3541,14.5603,14.2837,15.028,15.1676,15.9299,15.6574,
2,2.5,8.00006,17.7778,24.6154,27.234,28.3912,28.4738,28.4172,29.7265,31.0668,30.5215,30.441,
4,1.66667,5.7143,20,35.5556,46.5455,50.5618,50,51.8135,51.5265,53.234,53.1211,52.8321,
8,0.90909,4.44445,14.5454,40.0001,69.1892,76.9231,81.9672,81.9672,82.6276,90.6259,79.8015,87.9799,
,1,2,4,8,16,30,50,100,200,400,1000,5000,
1,10.0003,13.3334,14.5455,13.3333,13.2643,13.5338,13.2066,13.2205,14.0682,14.3049,14.7345,14.5621,
2,2,8,19.9999,22.8571,25.6,26.0116,26.2605,26.295,26.9052,27.4278,28.9113,28.239,
4,1.66667,5.7143,17.7778,35.5556,41.9672,45.9184,46.729,47.5285,47.5794,48.3691,48.9196,48.4117,
8,1.11111,4.00001,14.5455,40,67.3684,71.4286,83.3333,84.246,77.4293,81.762,80.7754,80.561,
,1,2,4,8,16,30,50,100,200,400,1000,5000,
1,5.00005,13.3334,13.3334,12.8,11.907,9.76139,11.8092,11.7952,11.6343,12.1493,11.8307,11.5782,
2,2.49998,10,17.7778,20.6452,22.8571,23.5602,23.0627,23.4742,23.3536,23.7643,23.3073,22.9078,
4,1.42858,5.7143,20,27.8261,40.6349,42.8571,43.63,43.956,43.8308,40.7114,44.5276,40.3879,
8,1,4.00001,14.5455,32,58.1819,71.4286,77.1605,72.8332,72.0072,73.1261,71.2367,74.8811,
